kode_limbah,nama_limbah,kategori,karakteristik,sumber_limbah,bentuk_limbah,kemasan_angkut,info_tambahan
A101d,"Limbah yang mengandung senyawa POPs dan UPOPs antara lain polychlorinated biphenyls (PCBs), DDT, PCDD, PCDF",1,,,,,Kategori bahaya 1 (PP 101/2014)
A102d,Aki/Baterai Bekas,1,Beracun,,,"Drum, Jumbo Bag",Kategori bahaya 1 (PP 101/2014)
A103d,"Debu dan fiber asbes antara lain asbes biru (crocidolite), asbes coklat (amosite), asbes abu-abu (anthrophyllite)",1,,,,,Kategori bahaya 1 (PP 101/2014)
A104d,Air lindi yang dihasilkan dari fasilitas penimbusan akhir (landfill) Limbah B3,1,,,,,Kategori bahaya 1 (PP 101/2014)
A105d,Limbah dan/atau buangan produk yang terkontaminasi dan/atau mengandung merkuri (Hg) dan/atau senyawanya,1,,,,,Kategori bahaya 1 (PP 101/2014)
A106d,Limbah dari Laboratorium yang Mengandung B3,1,Beracun,,,Drum Plastik,Kategori bahaya 1 (PP 101/2014)
A107d,Pelarut Bekas Lainnya yang belum dikodifikasi,1,Cairan Mudah Menyala,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
A108d,Limbah Terkontaminasi B3,1,Beracun,,,Cairan Mudah Menyala,Kategori bahaya 1 (PP 101/2014)
A109c,Asam Sulfat,1,,,,,Kategori bahaya 1 (PP 101/2014)
A109d,Limbah Asam Lainnya yang Belum Dikodifikasi,1,Korosif,,,Drum Plastik,Kategori bahaya 1 (PP 101/2014)
A110c,Asam Klorida,1,,,,,Kategori bahaya 1 (PP 101/2014)
A110d,Limbah karbon aktif yang mengandung zat pencemar,1,,,,,Kategori bahaya 1 (PP 101/2014)
A111d,Refrigerant bekas dari peralatan elekktronik,1,,,,,Kategori bahaya 1 (PP 101/2014)
A304-3,Limbah Minyak Resin(Terpentin),1,Mudah Menyala,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
A305-2,"Residu Produksi atau Reaksi Pemurnian Polimer, Absorben, Fraksinasi",1,Beracun,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
A306-2,Residu akhir (tar),1,,,,,Kategori bahaya 1 (PP 101/2014)
A307-1,Sludge dari Proses Produksi dan Fasilitas Penyimpanan Minyak Bumi atau Gas Alam [Kilang Minyak dan Gas Bumi],1,Beracun,,,Drum Plastik,Kategori bahaya 1 (PP 101/2014)
A307-2,Residu dasar tangki,1,,,,,Kategori bahaya 1 (PP 101/2014)
A309-3,Spent pickle liquor,1,,,,,Kategori bahaya 1 (PP 101/2014)
A309-4,Sludge spent pickle liquor,1,,,,,Kategori bahaya 1 (PP 101/2014)
A310-1,Larutan Asam Alkali dan Residunya [Operasi Penyempurnaan baja],1,Korosif`,,,Drum Besi,Kategori bahaya 1 (PP 101/2014)
A310-3,Larutan Pengolahan Bekas,1,Beracun,,,Drum Plastik,Kategori bahaya 1 (PP 101/2014)
A312-1,Larutan Asam Bekas[Peleburan dan Pemurnian Tembaga],1,Korosif,,,Drum Plastik,Kategori bahaya 1 (PP 101/2014)
A312-2,Sludge dari acid plant blowdown,1,,,,,Kategori bahaya 1 (PP 101/2014)
A313-3,Anodizing Sludge,1,Beracun,,,Jumbo Bag,Kategori bahaya 1 (PP 101/2014)
A317-1,Larutan oksalat dan sludge,1,,,,,Kategori bahaya 1 (PP 101/2014)
A317-2,Larutan permanganat (pickling),1,,,,,Kategori bahaya 1 (PP 101/2014)
